repo	path	bytes	sha256	function_markers	doc_markers
DAX-FULL	Cargo.toml	576	4a63af54c43dd1d14a73229c5f8df3842ac64eac9731cc030e82b3e83f6015ba	0	0
DAX-FULL	TITAN_ROOT_CIPHER.json	2014	2cbd925ecb7cd436609b5ce8eb917d7fdff2775c1bc06e7a86afc441991f506d	0	1
DAX-FULL	crates/agents/Cargo.toml	164	c84e1e209caa04724fdfe2bddc0ee968034e584245d607d28d02ffd9268f9f58	0	0
DAX-FULL	crates/agents/src/lib.rs	20	ae92c373a96ccea29a1ebc81328c4548409f20d792c0ee46b491e3cafa92a937	0	0
DAX-FULL	crates/candletorch/Cargo.toml	169	8f43142b05f15298a49130c365cd7614216899647d8e25c321397792917f5127	0	0
DAX-FULL	crates/candletorch/src/lib.rs	25	2084c9d4ec88bf823290f67e0df4888b610b772b4c78c14255ae52dc515f0d0b	0	0
DAX-FULL	crates/dax-agdk-core/Cargo.toml	171	e93ec579c932b052dc17444679bb9cc119e64ca98fa7e7894aa92938208ed213	0	0
DAX-FULL	crates/dax-agdk-core/src/lib.rs	27	d1e731ce20cf0830fbe34ecf8d0e0bfba2b9d65318e9255dc9961f4ce532ffe0	0	0
DAX-FULL	crates/decks/Cargo.toml	144	29257591b34c7301f16bf8098636ad1ac43d21f0312ddd4410eb998a85d33de2	0	0
DAX-FULL	crates/decks/src/main.rs	1109	6e82d32edf1d25de989c3d40d90fd5395487f54236c5cf8d9225d8a63a66383a	1	4
DAX-FULL	crates/decks/target/.rustc_info.json	3208	768596e8687a6e45c4607c7600721c590b5e817589b3f9b2fb90bd6e419b879c	0	0
DAX-FULL	crates/decks/target/aarch64-linux-android/release/.fingerprint/cfg-if-17b34d02ab27f25c/lib-cfg_if.json	457	6db1912d25301ac12fc43314d8866c63d775b0cbc86258f32f6921e16144d193	0	0
DAX-FULL	crates/decks/target/aarch64-linux-android/release/.fingerprint/log-1e2a7bf2064b036e/lib-log.json	921	205256c947cbd60dd64cbae7a0005597084c5872c66cdf493b19027701f13450	0	0
DAX-FULL	crates/decks/target/release/.fingerprint/cfg_aliases-9608df4eb03b5abf/lib-cfg_aliases.json	360	62c43db79159c96766717fba8cd90ba4cb39dfdc270d4413bc0121efd7b91019	0	0
DAX-FULL	crates/decks/target/release/.fingerprint/hashbrown-8f3c3824ba02cedb/lib-hashbrown.json	555	0083f471ac8a60c1ec691cab2a395ae78df972f03ecf62d7edc2052e5cc83793	0	0
DAX-FULL	crates/decks/target/release/.fingerprint/unicode-ident-352672f03a621f59/lib-unicode_ident.json	361	69f14b2537825dd2aec48c96c78ee159ac9b5ff23b33df581577e16bb01b8eab	0	0
DAX-FULL	crates/decks/target/release/.fingerprint/winnow-3775246bbdf8fb5e/lib-winnow.json	471	9baabb9ba1dce72455881e45160f2fb6c876021ebcc8822ef76032329ae05ee7	0	0
DAX-FULL	crates/diodus/Cargo.toml	164	150b56111ed8f8ca03488e4ed95c0e1404d1d94671b35352e751f1821d4cb9a4	0	0
DAX-FULL	crates/diodus/src/lib.rs	20	500b6ff133534c3cfe38cccfe9659e5ef970242f2b8932f8a1180658ec233a2e	0	0
DAX-FULL	crates/flux-engine/Cargo.toml	169	1edcfb0fd6131a4f5117d5792b529dba8388261f67650c32fec3bf8d7ca4c64a	0	0
DAX-FULL	crates/flux-engine/src/lib.rs	25	cc4d4c749ee888e29b44df12c58851d5460d87ef87a8f8f935e8c077be2e1b64	0	0
DAX-FULL	crates/reap3d/Cargo.toml	164	9e2d30c2d93be1ca4cd7bc7f3d8d0f042365bbc4e7a916650cdc292169132eb5	0	0
DAX-FULL	crates/reap3d/src/lib.rs	20	06226501bfe3dd07091789011351cac377dfef3f3bebe895dc32d83c228c0414	0	0
DAX-FULL	dax_codex_titan.json	292422	8bf129d7ba7bab4af3ce231c487db6aef65e28ab987e91a3277e92e3445119d1	0	0
DAX-FULL	dax_codex_tree.json	46418	6aca536a129bfeec3a0fdac00bff12b008cdbecc3a274969ba86d9da851a211f	0	100
DAX-FULL	dax_core.py	6012	9812d038ce71fafd1c29798a75c3523591203798cab1094f569489467d5b0172	1	2
DAX-FULL	dax_final_core.py	7104	6e03bcb295afc4df5427f1f4a8278c43102fae1b70a6e88b7db5c8ea17ba526d	1	1
