master\t24a20bcd2d717a160d711f2e8487e7f565096507\t2019-01-07 02:04:31 +0100
origin\t24a20bcd2d717a160d711f2e8487e7f565096507\t2019-01-07 02:04:31 +0100
origin/add-version-to-deps\tf522f76d5bcafb0c1e91632564b9b73d9ade8a19\t2018-08-23 21:16:21 +0200
origin/master\t24a20bcd2d717a160d711f2e8487e7f565096507\t2019-01-07 02:04:31 +0100
upstream/10638-package-procmail\teb1b117e49512367bacd0a8a09d076e3c0f1321c\t2022-05-25 21:51:02 +0530
upstream/10838-package-fpc\t8d0bc5fa840ae7d4b9cfe35ad118df1ba729038f\t2023-01-26 14:26:19 +0530
upstream/420-package-request-git-annex\t9cbc706402c0274c6a291dad2c3e7987f51c99b9\t2026-08-06 00:06:34 +0530
upstream/aapt-fixup\t76fed0112e36b3b63977018b773819f75caa419c\t2026-03-31 13:46:15 +0530
upstream/android-5\t600410b69ecf515b2dfa48760aa6a9c5fd9a8ed5\t2026-07-02 01:56:45 +0500
upstream/apt-3.x.y\tb7ab32ec604365ed71825b2a09e3f9c833f1820e\t2026-05-30 18:42:07 +0000
upstream/apt-less-dependencies\te887a700a0fb9f51e211379c60844f391d0d1ceb\t2024-09-14 15:14:45 +0200
upstream/ardour-9-bump\t6808a739ae3ef5e856d09c1f977f1b78b5276857\t2026-03-11 22:36:00 +0100
upstream/arti\t9319985f312cbcaf75a61be93059f102c25dc8a1\t2026-05-12 04:43:01 +0530
upstream/bootstraps\te117fd3ec8b11be32ea6a127545bd62f268fead9\t2022-05-07 23:13:37 +0000
upstream/build-on-device\t720997c84f1da11eecb3f885befca6084f452ecf\t2023-07-17 17:58:55 +0200
upstream/buildsystem-debug\t4b0c324f86e1dca2a42f896b065aed5ed0ed55d8\t2025-03-24 12:25:32 +0200
upstream/cabal-improvements\t11ee6edab87e4563166bc7f4c49f03bcd45fcc71\t2026-08-09 04:47:01 +0530
upstream/cache\t2889163b97b59cdb78dbe7c3cf2c807645d185bd\t2023-06-10 19:20:08 +0530
upstream/ci-auto-update-groups\t9c349a64ea685d6c9b24670398bf464bbcec39b8\t2025-04-16 00:29:34 +0300
upstream/ci-test-no-merge\t7286fd3c8459bea5eea574a3a96ac05faa851e82\t2025-04-20 07:09:07 +0300
upstream/ci-trigger-repology-metadata\td09144949fd57f6fc6e511c11db69109c421c2b1\t2025-04-18 13:55:43 +0300
upstream/crosvm\tdcc4b83bed3a781e81502dfaa036058fdf44656a\t2024-03-30 11:04:53 +0800
upstream/dependabot/github_actions/actions/download-artifact-8\td0e63b953208f9787d405f9b5cb3db50a418af40\t2026-06-27 10:39:59 +0000
upstream/dependabot/github_actions/actions/upload-artifact-7\t722a513740975db20cb27d4526b2224b7d7086df\t2026-06-27 10:40:36 +0000
upstream/dependabot/github_actions/docker/login-action-4.5.2\t71077fb6d370226f6c97f0a43b7cd98bc8aedf5a\t2026-07-31 08:42:42 +0000
upstream/dependabot/github_actions/github/codeql-action-4.37.4\tebbe84addc3f9b43d6f49faed5a04bc04e7ba25a\t2026-08-04 08:43:52 +0000
upstream/detect-package-conflicts\tab6da6b53f6c20d05ca9b462c134a882e71fb235\t2026-08-13 12:49:36 +0300
upstream/dev/bochs-3.0\t9ea26facd50c06ce58326e4d08998493bbe85b26\t2025-02-27 10:36:14 +0200
upstream/dev/firefox-136.0.2\teacebd3a4bdc15db799225081a9585c16c4a1fd4\t2025-03-19 22:05:06 +0200
upstream/dev/golang-validation\t955d58fb8769536073a672a6bdc7018f7b269cac\t2025-04-23 00:26:57 +0300
upstream/dev/pulse-without-memfd\tc0a188641adc1c6cf4f8464dea5ba93374cb4ae6\t2026-08-09 13:31:47 +0800
upstream/dev/riscv64\t7ccd166f66d4d5e964353dd660b93501418b6b98\t2024-11-17 21:40:00 +0800
upstream/dev/sysvk\t992cbb0d73648693d040420e0eb7ffbd67969507\t2024-04-05 00:35:40 +0800
upstream/dev/test-clvk-github-api\ta4b25b082314426272cea300d607b2d076777ef2\t2025-05-07 18:58:06 +0300
upstream/enhance-patching\tc5b29eac8e73a69245bbfd535e0a1b1739a6ac1f\t2025-05-07 13:15:50 +0300
upstream/erlang-29.0\t6a010793073a82657000c88dd6c02b49fca1cfea\t2026-05-20 16:33:03 +0530
