class	module	version	path
UNKNOWN	TOML::XS	0.05	/data/data/com.termux/files/home/perl5/lib/perl5/aarch64-android/TOML/XS.pm
UNKNOWN	TOML::XS::Timestamp	unknown	/data/data/com.termux/files/home/perl5/lib/perl5/aarch64-android/TOML/XS/Timestamp.pm
UNKNOWN	TOML::XS::Document	unknown	/data/data/com.termux/files/home/perl5/lib/perl5/aarch64-android/TOML/XS/Document.pm
UNKNOWN	LCS::XS	0.04	/data/data/com.termux/files/home/perl5/lib/perl5/aarch64-android/LCS/XS.pm
UNKNOWN	Devel::Hook	0.011	/data/data/com.termux/files/home/perl5/lib/perl5/aarch64-android/Devel/Hook.pm
UNKNOWN	TX	0.09	/data/data/com.termux/files/home/perl5/lib/perl5/TX.pm
UNKNOWN	Jet	unknown	/data/data/com.termux/files/home/perl5/lib/perl5/Jet.pm
UNKNOWN	tt	0.02	/data/data/com.termux/files/home/perl5/lib/perl5/tt.pm
UNKNOWN	ylib	0.003	/data/data/com.termux/files/home/perl5/lib/perl5/ylib.pm
UNKNOWN	XXX	0.38	/data/data/com.termux/files/home/perl5/lib/perl5/XXX.pm
UNKNOWN	LCS	0.11	/data/data/com.termux/files/home/perl5/lib/perl5/LCS.pm
UNKNOWN	define	unknown	/data/data/com.termux/files/home/perl5/lib/perl5/define.pm
UNKNOWN	Refine	0.01	/data/data/com.termux/files/home/perl5/lib/perl5/Refine.pm
UNKNOWN	HTML::AsSubs	5.07	/data/data/com.termux/files/home/perl5/lib/perl5/HTML/AsSubs.pm
UNKNOWN	HTML::Element	5.07	/data/data/com.termux/files/home/perl5/lib/perl5/HTML/Element.pm
UNKNOWN	HTML::Parse	5.07	/data/data/com.termux/files/home/perl5/lib/perl5/HTML/Parse.pm
UNKNOWN	HTML::Tree	5.07	/data/data/com.termux/files/home/perl5/lib/perl5/HTML/Tree.pm
UNKNOWN	HTML::TreeBuilder	5.07	/data/data/com.termux/files/home/perl5/lib/perl5/HTML/TreeBuilder.pm
UNKNOWN	HTML::Formatter	2.16	/data/data/com.termux/files/home/perl5/lib/perl5/HTML/Formatter.pm
UNKNOWN	HTML::FormatRTF	2.16	/data/data/com.termux/files/home/perl5/lib/perl5/HTML/FormatRTF.pm
UNKNOWN	HTML::FormatMarkdown	2.16	/data/data/com.termux/files/home/perl5/lib/perl5/HTML/FormatMarkdown.pm
UNKNOWN	HTML::FormatPS	2.16	/data/data/com.termux/files/home/perl5/lib/perl5/HTML/FormatPS.pm
UNKNOWN	HTML::FormatText	2.16	/data/data/com.termux/files/home/perl5/lib/perl5/HTML/FormatText.pm
UNKNOWN	HTML::Element::traverse	5.07	/data/data/com.termux/files/home/perl5/lib/perl5/HTML/Element/traverse.pm
UNKNOWN	Font::AFM	1.20	/data/data/com.termux/files/home/perl5/lib/perl5/Font/AFM.pm
UNKNOWN	Font::Metrics::Helvetica	unknown	/data/data/com.termux/files/home/perl5/lib/perl5/Font/Metrics/Helvetica.pm
UNKNOWN	Font::Metrics::CourierOblique	unknown	/data/data/com.termux/files/home/perl5/lib/perl5/Font/Metrics/CourierOblique.pm
UNKNOWN	Font::Metrics::TimesBoldItalic	unknown	/data/data/com.termux/files/home/perl5/lib/perl5/Font/Metrics/TimesBoldItalic.pm
UNKNOWN	Font::Metrics::TimesRoman	unknown	/data/data/com.termux/files/home/perl5/lib/perl5/Font/Metrics/TimesRoman.pm
UNKNOWN	Font::Metrics::TimesItalic	unknown	/data/data/com.termux/files/home/perl5/lib/perl5/Font/Metrics/TimesItalic.pm
